age,educational-num,marital-status,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,7,NotMarried,Black,Male,0,0,40,US,<=50K
38,9,Married,White,Male,0,0,50,US,<=50K
28,12,Married,White,Male,0,0,40,US,>50K
44,10,Married,Black,Male,7688,0,40,US,>50K
18,10,NotMarried,White,Female,0,0,30,US,<=50K
34,6,NotMarried,White,Male,0,0,30,US,<=50K
29,9,NotMarried,Black,Male,0,0,40,US,<=50K
63,15,Married,White,Male,3103,0,32,US,>50K
24,10,NotMarried,White,Female,0,0,40,US,<=50K
55,4,Married,White,Male,0,0,10,US,<=50K
65,9,Married,White,Male,6418,0,40,US,>50K
36,13,Married,White,Male,0,0,40,US,<=50K
26,9,NotMarried,White,Female,0,0,39,US,<=50K
58,9,Married,White,Male,0,0,35,US,<=50K
48,9,Married,White,Male,3103,0,48,US,>50K
43,14,Married,White,Male,0,0,50,US,>50K
20,10,NotMarried,White,Male,0,0,25,US,<=50K
43,9,Married,White,Female,0,0,30,US,<=50K
37,9,NotMarried,White,Female,0,0,20,US,<=50K
40,16,Married,Asian-Pac-Islander,Male,0,0,45,Others,>50K
34,13,Married,White,Male,0,0,47,US,>50K
34,10,NotMarried,Black,Female,0,0,35,US,<=50K
72,4,NotMarried,White,Female,0,0,6,US,<=50K
25,13,NotMarried,White,Male,0,0,43,Others,<=50K
25,13,Married,White,Male,0,0,40,US,<=50K
45,9,Married,White,Male,7298,0,90,US,>50K
22,9,NotMarried,White,Male,0,0,20,US,<=50K
23,9,NotMarried,Black,Male,0,0,54,US,<=50K
54,9,Married,White,Male,0,0,35,US,<=50K
32,10,NotMarried,White,Male,0,0,60,US,<=50K
46,10,Married,Black,Male,7688,0,38,US,>50K
56,7,NotMarried,White,Female,0,0,50,US,<=50K
24,13,NotMarried,White,Male,0,0,50,US,<=50K
23,10,Married,White,Male,0,0,40,US,<=50K
26,9,NotMarried,White,Female,0,0,40,US,<=50K
