sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
Male,69,Other,0,0,0,0,F,No
Male,34,African-American,0,0,0,0,F,Yes
Male,24,African-American,0,0,1,4,F,Yes
Male,23,African-American,0,1,0,1,F,No
Male,43,Other,0,0,0,2,F,No
Male,44,Other,0,0,0,0,M,No
Male,41,Caucasian,0,0,0,14,F,Yes
Male,43,Other,0,0,0,3,F,No
Female,39,Caucasian,0,0,0,0,M,No
Male,21,Caucasian,0,0,0,1,F,Yes
Male,27,Caucasian,0,0,0,0,F,No
Male,23,African-American,0,0,0,3,M,Yes
Female,37,Caucasian,0,0,0,0,M,No
Male,41,African-American,0,0,0,0,F,No
Female,47,Caucasian,0,0,0,1,F,Yes
Male,31,African-American,0,0,0,7,F,Yes
Male,37,Hispanic,0,0,0,0,M,No
Male,25,African-American,0,0,0,3,F,No
Male,31,Caucasian,0,0,0,6,F,Yes
Male,31,Caucasian,0,0,0,5,F,Yes
Male,64,African-American,0,0,0,13,F,Yes
Male,21,African-American,0,0,0,1,F,Yes
Male,27,Caucasian,0,0,0,0,M,Yes
Female,21,Caucasian,0,0,0,0,F,No
Male,24,Hispanic,0,0,0,1,F,Yes
Male,43,Caucasian,0,0,0,1,M,No
Male,32,Other,0,0,0,0,M,No
Male,27,African-American,0,0,0,8,F,Yes
Female,36,Caucasian,0,0,0,3,F,No
Male,26,African-American,0,0,1,5,F,Yes
Male,33,African-American,0,0,0,0,F,Yes
Male,30,Caucasian,0,0,0,9,F,Yes
Male,32,African-American,0,0,0,4,F,Yes
Male,55,Caucasian,0,0,0,0,F,No
Male,49,Other,0,0,0,7,F,Yes
Male,26,Caucasian,0,0,2,6,M,No
Female,33,Caucasian,0,0,0,4,M,Yes
Male,24,Caucasian,0,0,0,1,M,Yes
Male,34,African-American,2,1,3,21,F,Yes
Male,29,Caucasian,0,0,0,0,M,No
Female,21,African-American,0,0,0,2,F,No
Male,51,African-American,0,0,0,2,M,No
Male,29,Caucasian,0,0,0,2,M,Yes
Female,51,African-American,0,0,0,7,F,No
Male,29,African-American,0,0,0,0,F,Yes
Male,25,Caucasian,0,0,0,9,M,Yes
Male,35,African-American,1,0,4,13,F,Yes
Male,49,Caucasian,0,0,0,0,M,No
Male,34,African-American,0,0,0,4,M,Yes
Male,29,African-American,0,0,0,0,F,No
Male,29,Caucasian,0,0,0,1,F,Yes
Female,28,Other,0,0,0,0,F,No
Male,48,Caucasian,0,0,0,20,F,Yes
Female,63,Hispanic,0,0,0,1,F,No
Male,31,African-American,0,0,1,15,F,No
Male,24,African-American,0,0,0,2,F,Yes
Male,30,Hispanic,0,0,0,0,M,No
Male,49,African-American,0,0,0,4,M,No
Male,53,Caucasian,0,0,0,8,F,No
