dataset,method,n_estimators,gamma,cost_budget,time,accuracy,f1,AUC,recourse,validity,cost,sparsity,plausibility,unfairness
FICO,Vanilla,100,0.0,0.1,17.46384310722351,0.7309562398703403,0.7135461604831751,0.8022333080744295,0.5012155591572123,0.07721139430284858,0.3612867690144851,2.1559766763848396,0.43482033560522365,0.0
FICO,OAF,100,0.0,0.1,13.837777853012085,0.7175850891410048,0.6991799741044454,0.7896055006525216,0.5376823338735819,0.1453183520599251,0.3222174285879927,2.764437689969605,0.43904400243336855,0.0
FICO,RABIT,100,0.0005,0.1,13.420490980148315,0.7370340356564019,0.7181936604429006,0.8029443725267322,0.5016207455429498,0.08821349147516679,0.3758771734374226,2.1372549019607843,0.43659496179350726,0.0
FICO,RABIT,100,0.001,0.1,13.506457090377808,0.733387358184765,0.7166236003445305,0.8018616601414499,0.5158022690437601,0.10150375939849623,0.42784536915893945,2.0923423423423424,0.4428650000634808,0.0
FICO,RABIT,100,0.0015,0.1,15.301245927810669,0.7264991896272285,0.7074122236671001,0.8009493137997812,0.6843598055105349,0.420817843866171,0.1885497965322478,1.054275092936803,0.47358980371712456,0.0
FICO,RABIT,100,0.002,0.1,15.899105072021484,0.7264991896272285,0.707918649935093,0.7993778679380316,0.7058346839546191,0.45861297539149887,0.16630245006597247,1.0820283370618942,0.4712837867784605,0.0
FICO,RABIT,100,0.0025,0.1,15.31520414352417,0.7228525121555915,0.7071917808219178,0.7959146354298223,0.7674230145867099,0.5638297872340425,0.12447655588461597,1.0326747720364742,0.4712173724428112,0.0
FICO,RABIT,100,0.003,0.1,12.565268993377686,0.7220421393841167,0.7019982623805386,0.7932157478740424,0.7856564019448946,0.6081481481481481,0.10666794706248028,1.031111111111111,0.4703284612266154,0.0
FICO,RABIT,100,0.0035,0.1,12.379526853561401,0.7220421393841167,0.703030303030303,0.7947365443714742,0.7828200972447326,0.6005961251862891,0.1119997645371105,1.0283159463487332,0.4725647215099889,0.0
FICO,RABIT,100,0.004,0.1,13.277530670166016,0.7224473257698542,0.7033347769597228,0.7916788356697819,0.8144246353322528,0.6589724497393894,0.09579606369970167,1.0163812360387192,0.4696834387290619,0.0
FICO,RABIT,100,0.0045,0.1,13.751443862915039,0.7183954619124797,0.6997840172786177,0.7919347136271786,0.7909238249594813,0.6140613313388182,0.10601715450021626,1.0276738967838444,0.47110857647363386,0.0
FICO,RABIT,100,0.005,0.1,14.661119937896729,0.7240680713128039,0.7065919862128393,0.7938988565083775,0.8042949756888168,0.637114951164538,0.10163777021944036,1.0360631104432758,0.4715131589117691,0.0
FICO,Vanilla,100,0.0,0.1,15.549023151397705,0.7382495948136143,0.7210708117443869,0.8085421139597541,0.5081037277147488,0.09131736526946108,0.3586714953931533,2.16734693877551,0.4393550025540289,0.0
FICO,OAF,100,0.0,0.1,14.122076272964478,0.7325769854132901,0.7137901127493496,0.7944369237812579,0.5441653160453809,0.16419019316493313,0.3104206504334672,2.6254767353165525,0.43953546809368466,0.0
FICO,RABIT,100,0.0005,0.1,13.110493183135986,0.7382495948136143,0.7241673783091375,0.8059701787067441,0.5178282009724473,0.0916030534351145,0.4039178582632688,2.44639175257732,0.4426409433489399,0.0
FICO,RABIT,100,0.001,0.1,13.303209066390991,0.7386547811993517,0.7218628719275549,0.8073140313210407,0.5076985413290114,0.08852213053263316,0.37984635074392453,2.043593130779392,0.4481762731625849,0.0
FICO,RABIT,100,0.0015,0.1,13.27155590057373,0.7382495948136143,0.7244027303754266,0.8046960511913782,0.6855753646677472,0.40672782874617736,0.1891234507811713,1.0519877675840978,0.4775053017349312,0.0
FICO,RABIT,100,0.002,0.1,13.327325820922852,0.7337925445705025,0.7186295503211991,0.8039132882882882,0.7248784440842788,0.4844343204252088,0.1479317502790725,1.0774487471526195,0.4710143118172271,0.0
FICO,RABIT,100,0.0025,0.1,12.798943042755127,0.7406807131280388,0.7257926306769494,0.8035860407720805,0.7228525121555915,0.48103186646433993,0.1607804892735679,1.028072837632777,0.476295157262166,0.0
FICO,RABIT,100,0.003,0.1,12.667441844940186,0.736223662884927,0.7209601371624518,0.8003204723415004,0.7771474878444085,0.5830174374526156,0.11353734303157556,1.048521607278241,0.47132996556852425,0.0
FICO,RABIT,100,0.0035,0.1,12.804661989212036,0.7366288492706645,0.7207903780068728,0.7999971715290056,0.7925445705024311,0.6132930513595166,0.1062576393302978,1.049093655589124,0.4699386673181384,0.0
FICO,RABIT,100,0.004,0.1,12.682909965515137,0.7317666126418152,0.7149009474590869,0.8005099141197273,0.7662074554294975,0.5661654135338345,0.11810052033898005,1.0390977443609022,0.4725729018668761,0.0
FICO,RABIT,100,0.0045,0.1,12.742402076721191,0.7402755267423015,0.7238259370960792,0.8036560947629873,0.7974068071312804,0.6243425995492111,0.10265372383519439,1.0187828700225394,0.4694403756252949,0.0
FICO,RABIT,100,0.005,0.1,12.610989093780518,0.7358184764991896,0.7208904109589042,0.7974867390755241,0.7726904376012966,0.5737082066869301,0.11776927216630646,1.027355623100304,0.47358096184358994,0.0
FICO,Vanilla,100,0.0,0.1,13.09778380393982,0.7228525121555915,0.7069408740359897,0.7993601077713228,0.5158022690437601,0.09332321699544764,0.3661996310139512,2.170360110803324,0.42753938246671425,0.0
FICO,OAF,100,0.0,0.1,13.02363395690918,0.7111021069692058,0.6920086393088553,0.7840189415466869,0.5530794165316045,0.175018698578908,0.308862684253469,2.7381137957911146,0.43279411716119004,0.0
FICO,RABIT,100,0.0005,0.1,14.015335321426392,0.7256888168557536,0.7090674688440052,0.7990700250484128,0.5097244732576985,0.08679245283018867,0.3795620168471619,2.2465940054495914,0.4299674022439749,0.0
FICO,RABIT,100,0.001,0.1,13.208270072937012,0.7216369529983793,0.7050236152855303,0.7965605792708595,0.5097244732576985,0.0854119425547997,0.3611673786566953,2.126126126126126,0.43101849430873546,0.0
