dataset,method,n_estimators,gamma,cost_budget,time,accuracy,f1,AUC,recourse,validity,cost,sparsity,plausibility,unfairness
FICO,Vanilla,50,0.0,0.2,7.698952913284302,0.733387358184765,0.7166236003445305,0.8041369348320283,0.5214748784440842,0.11203007518796992,0.3646137437740084,2.091240875912409,0.4440031162733546,0.0
FICO,OAF,50,0.0,0.2,7.361041784286499,0.7175850891410048,0.6962962962962963,0.7942224862128483,0.5984602917341977,0.2697126013264554,0.3298512461632156,2.894419306184012,0.44368783058624633,0.0
FICO,RABIT,50,0.0005,0.2,7.405491828918457,0.7277147487844409,0.7095937770095073,0.8023155310684518,0.5279578606158833,0.12929745889387145,0.3947325772186783,2.1371610845295055,0.44769274446837354,0.0
FICO,RABIT,50,0.001,0.2,7.364737033843994,0.7301458670988655,0.7129310344827586,0.8035179601330302,0.5364667747163695,0.14114114114114115,0.336989531832711,2.075829383886256,0.4477167814960107,0.0
FICO,RABIT,50,0.0015,0.2,7.54908299446106,0.7370340356564019,0.7203791469194313,0.8033443051696556,0.6000810372771475,0.25845229151014276,0.36452771282410484,1.2465462274176409,0.4765899271952626,0.0
FICO,RABIT,50,0.002,0.2,7.254370212554932,0.7301458670988655,0.7177966101694915,0.80031882788162,0.6450567260940032,0.3219814241486068,0.4116804836402615,1.1057692307692308,0.48665988274142585,0.0
FICO,RABIT,50,0.0025,0.2,7.144106149673462,0.7317666126418152,0.7151462994836488,0.7998366722446746,0.646677471636953,0.3433734939759036,0.4575151408864849,1.2921686746987953,0.49366621268743593,0.0
FICO,RABIT,50,0.003,0.2,7.253968954086304,0.7277147487844409,0.7108433734939759,0.7995850698829672,0.7119124797406807,0.46460843373493976,0.2820317103135782,1.1754518072289157,0.4855423413778938,0.0
FICO,RABIT,50,0.0035,0.2,6.951140880584717,0.7281199351701783,0.7111493758071459,0.7981027537467373,0.6766612641815235,0.39954853273137697,0.31499462746750695,1.1156202143950995,0.4844034481741696,0.0
FICO,RABIT,50,0.004,0.2,7.186631917953491,0.7281199351701783,0.7113978494623656,0.7956084370000842,0.7982171799027553,0.624717407686511,0.1917830060365876,1.0708364732479276,0.48101407644630456,0.0
FICO,RABIT,50,0.0045,0.2,6.9842329025268555,0.7244732576985413,0.7035745422842197,0.7936870500757767,0.7771474878444085,0.5949926362297496,0.18416964307229952,1.0257731958762886,0.486178465773731,0.0
FICO,RABIT,50,0.005,0.2,6.905306816101074,0.7264991896272285,0.7071583514099783,0.7933538825039994,0.7690437601296597,0.576837416481069,0.20284101930211826,1.030438010393467,0.48556445183428454,0.0
FICO,Vanilla,50,0.0,0.2,7.373234987258911,0.7273095623987034,0.7077724706904038,0.7961040772080491,0.5393030794165316,0.15715344699777614,0.3357736089000699,2.1325301204819276,0.4404675602332999,0.0
FICO,OAF,50,0.0,0.2,7.152349233627319,0.7216369529983793,0.6961521450685537,0.7871411130756925,0.6061588330632091,0.30122214234363764,0.30491812680824043,2.7264150943396226,0.4440150798226684,0.0
FICO,RABIT,50,0.0005,0.2,7.446834087371826,0.733387358184765,0.7136640557006092,0.7991739549128567,0.5206645056726094,0.12629246676514033,0.3542461066326477,2.164362519201229,0.4406178151119062,0.0
FICO,RABIT,50,0.001,0.2,7.320955038070679,0.7260940032414911,0.7058311575282855,0.7953213143049592,0.534035656401945,0.15066469719350073,0.3736697480418604,2.1603650586701435,0.4425965461447204,0.0
