dataset,method,n_estimators,eta,cost_budget,accuracy,f1,AUC,recourse,validity,cost
FICO,Vanilla,100,0.01,0.2,0.7111021069692058,0.6876916338151555,0.7763975277847942,0.6312803889789304,0.3352812271731191,0.2994011410314457
FICO,Vanilla,100,0.02,0.2,0.710291734197731,0.6887244231606443,0.776319251494485,0.6381685575364667,0.34095940959409593,0.30016121942839374
FICO,Vanilla,100,0.04,0.2,0.7098865478119936,0.6916451335055986,0.7758719584070052,0.6576175040518638,0.36466165413533835,0.30315073353101135
FICO,Vanilla,100,0.08,0.2,0.7062398703403565,0.6952501050861707,0.7747168897869833,0.6961102106969206,0.410840534171249,0.2827181169883044
FICO,Vanilla,100,0.16,0.2,0.6957050243111832,0.6953346855983773,0.7722863780836913,0.7747163695299838,0.531592249368155,0.23033837569518806
FICO,Vanilla,100,0.32,0.2,0.6766612641815235,0.693076923076923,0.7669714837501053,0.8796596434359806,0.717680608365019,0.15126598156624063
FICO,Vanilla,100,0.64,0.2,0.6551863857374393,0.6928906531937928,0.7582986023406585,0.9529983792544571,0.8683314415437003,0.09803876596708822
FICO,Vanilla,100,1.28,0.2,0.6296596434359806,0.6895380434782609,0.7472794055737981,0.9866288492706645,0.9533898305084746,0.06825096524670769
FICO,OAF,100,0.01,0.2,0.696515397082658,0.6722100656455142,0.7595793076955459,0.726904376012966,0.506949524506218,0.21734875869584797
FICO,OAF,100,0.02,0.2,0.696515397082658,0.6742061765985211,0.759486560158289,0.7406807131280388,0.5269770879526977,0.20945672737412424
FICO,OAF,100,0.04,0.2,0.6952998379254457,0.6775300171526587,0.7592313399848445,0.7645867098865479,0.5598484848484848,0.19863875498641145
FICO,OAF,100,0.08,0.2,0.6920583468395461,0.6812080536912751,0.7581256051612361,0.8075364667747164,0.6253943217665615,0.17249512529075495
FICO,OAF,100,0.16,0.2,0.6855753646677472,0.6865912762520194,0.7548972015239539,0.8796596434359806,0.7474489795918368,0.1397066230639666
FICO,OAF,100,0.32,0.2,0.6722042139384117,0.6867982965543941,0.7493113002020712,0.9436790923824959,0.8699719363891487,0.10657146910707266
FICO,OAF,100,0.64,0.2,0.6539708265802269,0.6874084919472914,0.7404463458785888,0.9756888168557536,0.9347826086956522,0.0835781762155578
FICO,OAF,100,1.28,0.2,0.6333063209076175,0.686525805334257,0.7310834491033089,0.9910858995137763,0.9712418300653595,0.06906856515678382
FICO,RABIT,100,0.01,0.2,0.7264991896272285,0.7030356357237132,0.7827747432011452,0.7893030794165316,0.6229151559100797,0.20087154659644832
FICO,RABIT,100,0.02,0.2,0.7256888168557536,0.7021557413110426,0.7826326618674748,0.830226904376013,0.6961566352429297,0.16309653565340382
FICO,RABIT,100,0.04,0.2,0.7256888168557536,0.7037199124726478,0.7823840195335522,0.8703403565640194,0.7659107534747622,0.13223648240637886
FICO,RABIT,100,0.08,0.2,0.7236628849270664,0.7024432809773123,0.7820853856192641,0.9100486223662885,0.836764705882353,0.10486331390295882
FICO,RABIT,100,0.16,0.2,0.7216369529983793,0.7022106631989596,0.7816512482108275,0.9412479740680713,0.8921933085501859,0.08132304907416307
FICO,RABIT,100,0.32,0.2,0.7167747163695299,0.7026797107613781,0.780859276332407,0.9619124797406807,0.9277478862413528,0.06609770854148901
FICO,RABIT,100,0.64,0.2,0.7147487844408428,0.7081260364842454,0.7785761082344027,0.976904376012966,0.9540322580645161,0.058070998036968316
FICO,RABIT,100,1.28,0.2,0.7070502431118314,0.7104525430516619,0.7740512124273806,0.9886547811993517,0.9757575757575757,0.05023688775265169
FICO,Vanilla,100,0.01,0.2,0.7070502431118314,0.6963460730785385,0.7787727856361034,0.6608589951377634,0.34146341463414637,0.30774911045073045
FICO,Vanilla,100,0.02,0.2,0.7074554294975689,0.699667221297837,0.7785655836911678,0.6693679092382496,0.34615384615384615,0.30792662145203453
FICO,Vanilla,100,0.04,0.2,0.7050243111831442,0.700164744645799,0.7779748937021134,0.6908427876823339,0.37663398692810457,0.2990551520227547
FICO,Vanilla,100,0.08,0.2,0.700162074554295,0.700162074554295,0.7763462206365244,0.7366288492706645,0.4510135135135135,0.2712481464685529
FICO,Vanilla,100,0.16,0.2,0.692868719611021,0.70390625,0.7728547034183717,0.8132090761750406,0.5778388278388278,0.21953540185901976
FICO,Vanilla,100,0.32,0.2,0.669773095623987,0.6966877558615556,0.7666215426875473,0.8991085899513777,0.7419689119170985,0.14308694959013402
